id,name
228813,Aleix García Serrano
185103,Aleksandar Kolarov
205923,Ben Davies
200888,Danilo Luís Hélio Pereira
242628,George Bello
221342,Pablo Maffeo Becerra
235134,Pablo Rosario
193352,Ricardo Rodríguez
198640,Zakaria Labyad
212883,Daniel Amartey
237646,Daniel Muñoz
169595,Danny Rose
254088,Diallo Amad Traore
212602,Diego Javier Llorente Ríos
159261,Fabio Quagliarella
208141,Gabriel Appelt Pires
205995,Jetro Willems
236311,Marko Rog
211101,Rubén Blanco Veiga
190362,Teemu Pukki
223710,Vedat Muriqi
239335,Óscar Rodríguez Arnaiz
222368,Anton Miranchuk
245132,Denys Popov
226162,Emiliano Buendía
242162,Håkon Evjen
120533,Képler Laveran Lima Ferreira
222404,Mathias Normann
210896,Morgan Sanson
244675,Oihan Sancet Tirapu
234078,Orel Mangala
146562,Santiago Cazorla González
197853,Serge Aurier
232008,Antonio Latorre Grueso
241632,Benjamín Garré
238858,Bruno Vinícius Souza Ramos
238216,Conor Gallagher
244938,Francisco Montero Rubio
226508,Greg Taylor
215107,Héctor Villalba
243249,Jurgen Ekkelenkamp
233050,Matt Smith
252324,Rodrigo Riquelme Reche
203890,Šime Vrsaljko
234111,David Turnbull
180930,Edin Džeko
238072,Eduard Löwen
245313,José María Sildero
225563,João Pedro Maturano dos Santos
243675,Kjell Scherpen
244024,Oliver Batista Meier
167397,Radamel Falcao García Zarate
240709,Ridle Baku
